time_us,event_type,seq,board_time_us,reference_time_us,pps_status,note
0,PPS_EDGE,0,0,197,1,
10000,IMU_SAMPLE,1,10000,,0,
20000,IMU_SAMPLE,2,20000,,0,
30000,IMU_SAMPLE,3,30000,,0,
40000,IMU_SAMPLE,4,40000,,0,
50000,IMU_SAMPLE,5,50000,,0,
60000,IMU_SAMPLE,6,60000,,0,
70000,IMU_SAMPLE,7,70000,,0,
80000,IMU_SAMPLE,8,80000,,0,
90000,IMU_SAMPLE,9,90000,,0,
100000,IMU_SAMPLE,10,100000,,0,
110000,IMU_SAMPLE,11,110000,,0,
120000,IMU_SAMPLE,12,120000,,0,
130000,IMU_SAMPLE,13,130000,,0,
140000,IMU_SAMPLE,14,140000,,0,
150000,IMU_SAMPLE,15,150000,,0,
160000,IMU_SAMPLE,16,160000,,0,
170000,IMU_SAMPLE,17,170000,,0,
180000,IMU_SAMPLE,18,180000,,0,
190000,IMU_SAMPLE,19,190000,,0,
200000,IMU_SAMPLE,20,200000,,0,
210000,IMU_SAMPLE,21,210000,,0,
220000,IMU_SAMPLE,22,220000,,0,
230000,IMU_SAMPLE,23,230000,,0,
240000,IMU_SAMPLE,24,240000,,0,
250000,IMU_SAMPLE,25,250000,,0,
260000,IMU_SAMPLE,26,260000,,0,
270000,IMU_SAMPLE,27,270000,,0,
280000,IMU_SAMPLE,28,280000,,0,
290000,IMU_SAMPLE,29,290000,,0,
300000,IMU_SAMPLE,30,300000,,0,
310000,IMU_SAMPLE,31,310000,,0,
320000,IMU_SAMPLE,32,320000,,0,
330000,IMU_SAMPLE,33,330000,,0,
340000,IMU_SAMPLE,34,340000,,0,
350000,IMU_SAMPLE,35,350000,,0,
360000,IMU_SAMPLE,36,360000,,0,
370000,IMU_SAMPLE,37,370000,,0,
380000,IMU_SAMPLE,38,380000,,0,
390000,IMU_SAMPLE,39,390000,,0,
400000,IMU_SAMPLE,40,400000,,0,
410000,IMU_SAMPLE,41,410000,,0,
420000,IMU_SAMPLE,42,420000,,0,
430000,IMU_SAMPLE,43,430000,,0,
440000,IMU_SAMPLE,44,440000,,0,
450000,IMU_SAMPLE,45,450000,,0,
460000,IMU_SAMPLE,46,460000,,0,
470000,IMU_SAMPLE,47,470000,,0,
480000,IMU_SAMPLE,48,480000,,0,
490000,IMU_SAMPLE,49,490000,,0,
500000,IMU_SAMPLE,50,500000,,0,
510000,IMU_SAMPLE,51,510000,,0,
520000,IMU_SAMPLE,52,520000,,0,
530000,IMU_SAMPLE,53,530000,,0,
540000,IMU_SAMPLE,54,540000,,0,
550000,IMU_SAMPLE,55,550000,,0,
560000,IMU_SAMPLE,56,560000,,0,
570000,IMU_SAMPLE,57,570000,,0,
580000,IMU_SAMPLE,58,580000,,0,
590000,IMU_SAMPLE,59,590000,,0,
600000,IMU_SAMPLE,60,600000,,0,
610000,IMU_SAMPLE,61,610000,,0,
620000,IMU_SAMPLE,62,620000,,0,
630000,IMU_SAMPLE,63,630000,,0,
640000,IMU_SAMPLE,64,640000,,0,
650000,IMU_SAMPLE,65,650000,,0,
660000,IMU_SAMPLE,66,660000,,0,
670000,IMU_SAMPLE,67,670000,,0,
680000,IMU_SAMPLE,68,680000,,0,
690000,IMU_SAMPLE,69,690000,,0,
700000,IMU_SAMPLE,70,700000,,0,
710000,IMU_SAMPLE,71,710000,,0,
720000,IMU_SAMPLE,72,720000,,0,
730000,IMU_SAMPLE,73,730000,,0,
740000,IMU_SAMPLE,74,740000,,0,
750000,IMU_SAMPLE,75,750000,,0,
760000,IMU_SAMPLE,76,760000,,0,
770000,IMU_SAMPLE,77,770000,,0,
780000,IMU_SAMPLE,78,780000,,0,
790000,IMU_SAMPLE,79,790000,,0,
800000,IMU_SAMPLE,80,800000,,0,
810000,IMU_SAMPLE,81,810000,,0,
820000,IMU_SAMPLE,82,820000,,0,
830000,IMU_SAMPLE,83,830000,,0,
840000,IMU_SAMPLE,84,840000,,0,
850000,IMU_SAMPLE,85,850000,,0,
860000,IMU_SAMPLE,86,860000,,0,
870000,IMU_SAMPLE,87,870000,,0,
880000,IMU_SAMPLE,88,880000,,0,
890000,IMU_SAMPLE,89,890000,,0,
900000,IMU_SAMPLE,90,900000,,0,
910000,IMU_SAMPLE,91,910000,,0,
920000,IMU_SAMPLE,92,920000,,0,
930000,IMU_SAMPLE,93,930000,,0,
940000,IMU_SAMPLE,94,940000,,0,
950000,IMU_SAMPLE,95,950000,,0,
960000,IMU_SAMPLE,96,960000,,0,
970000,IMU_SAMPLE,97,970000,,0,
980000,IMU_SAMPLE,98,980000,,0,
990000,IMU_SAMPLE,99,990000,,0,
1000000,PPS_EDGE,100,1000000,1000196,1,
1010000,IMU_SAMPLE,101,1010000,,0,
1020000,IMU_SAMPLE,102,1020000,,0,
1030000,IMU_SAMPLE,103,1030000,,0,
1040000,IMU_SAMPLE,104,1040000,,0,
1050000,IMU_SAMPLE,105,1050000,,0,
1060000,IMU_SAMPLE,106,1060000,,0,
1070000,IMU_SAMPLE,107,1070000,,0,
1080000,IMU_SAMPLE,108,1080000,,0,
1090000,IMU_SAMPLE,109,1090000,,0,
1100000,IMU_SAMPLE,110,1100000,,0,
1110000,IMU_SAMPLE,111,1110000,,0,
1120000,IMU_SAMPLE,112,1120000,,0,
1130000,IMU_SAMPLE,113,1130000,,0,
1140000,IMU_SAMPLE,114,1140000,,0,
1150000,IMU_SAMPLE,115,1150000,,0,
1160000,IMU_SAMPLE,116,1160000,,0,
1170000,IMU_SAMPLE,117,1170000,,0,
1180000,IMU_SAMPLE,118,1180000,,0,
1190000,IMU_SAMPLE,119,1190000,,0,
1200000,IMU_SAMPLE,120,1200000,,0,
1210000,IMU_SAMPLE,121,1210000,,0,
1220000,IMU_SAMPLE,122,1220000,,0,
1230000,IMU_SAMPLE,123,1230000,,0,
1240000,IMU_SAMPLE,124,1240000,,0,
1250000,IMU_SAMPLE,125,1250000,,0,
1260000,IMU_SAMPLE,126,1260000,,0,
1270000,IMU_SAMPLE,127,1270000,,0,
1280000,IMU_SAMPLE,128,1280000,,0,
1290000,IMU_SAMPLE,129,1290000,,0,
1300000,IMU_SAMPLE,130,1300000,,0,
1310000,IMU_SAMPLE,131,1310000,,0,
1320000,IMU_SAMPLE,132,1320000,,0,
1330000,IMU_SAMPLE,133,1330000,,0,
1340000,IMU_SAMPLE,134,1340000,,0,
1350000,IMU_SAMPLE,135,1350000,,0,
1360000,IMU_SAMPLE,136,1360000,,0,
1370000,IMU_SAMPLE,137,1370000,,0,
1380000,IMU_SAMPLE,138,1380000,,0,
1390000,IMU_SAMPLE,139,1390000,,0,
1400000,IMU_SAMPLE,140,1400000,,0,
1410000,IMU_SAMPLE,141,1410000,,0,
1420000,IMU_SAMPLE,142,1420000,,0,
1430000,IMU_SAMPLE,143,1430000,,0,
1440000,IMU_SAMPLE,144,1440000,,0,
1450000,IMU_SAMPLE,145,1450000,,0,
1460000,IMU_SAMPLE,146,1460000,,0,
1470000,IMU_SAMPLE,147,1470000,,0,
1480000,IMU_SAMPLE,148,1480000,,0,
1490000,IMU_SAMPLE,149,1490000,,0,
1500000,IMU_SAMPLE,150,1500000,,0,
1510000,IMU_SAMPLE,151,1510000,,0,
1520000,IMU_SAMPLE,152,1520000,,0,
1530000,IMU_SAMPLE,153,1530000,,0,
1540000,IMU_SAMPLE,154,1540000,,0,
1550000,IMU_SAMPLE,155,1550000,,0,
1560000,IMU_SAMPLE,156,1560000,,0,
1570000,IMU_SAMPLE,157,1570000,,0,
1580000,IMU_SAMPLE,158,1580000,,0,
1590000,IMU_SAMPLE,159,1590000,,0,
1600000,IMU_SAMPLE,160,1600000,,0,
1610000,IMU_SAMPLE,161,1610000,,0,
1620000,IMU_SAMPLE,162,1620000,,0,
1630000,IMU_SAMPLE,163,1630000,,0,
1640000,IMU_SAMPLE,164,1640000,,0,
1650000,IMU_SAMPLE,165,1650000,,0,
1660000,IMU_SAMPLE,166,1660000,,0,
1670000,IMU_SAMPLE,167,1670000,,0,
1680000,IMU_SAMPLE,168,1680000,,0,
1690000,IMU_SAMPLE,169,1690000,,0,
1700000,IMU_SAMPLE,170,1700000,,0,
1710000,IMU_SAMPLE,171,1710000,,0,
1720000,IMU_SAMPLE,172,1720000,,0,
1730000,IMU_SAMPLE,173,1730000,,0,
1740000,IMU_SAMPLE,174,1740000,,0,
1750000,IMU_SAMPLE,175,1750000,,0,
1760000,IMU_SAMPLE,176,1760000,,0,
1770000,IMU_SAMPLE,177,1770000,,0,
1780000,IMU_SAMPLE,178,1780000,,0,
1790000,IMU_SAMPLE,179,1790000,,0,
1800000,IMU_SAMPLE,180,1800000,,0,
1810000,IMU_SAMPLE,181,1810000,,0,
1820000,IMU_SAMPLE,182,1820000,,0,
1830000,IMU_SAMPLE,183,1830000,,0,
1840000,IMU_SAMPLE,184,1840000,,0,
1850000,IMU_SAMPLE,185,1850000,,0,
1860000,IMU_SAMPLE,186,1860000,,0,
1870000,IMU_SAMPLE,187,1870000,,0,
1880000,IMU_SAMPLE,188,1880000,,0,
1890000,IMU_SAMPLE,189,1890000,,0,
1900000,IMU_SAMPLE,190,1900000,,0,
1910000,IMU_SAMPLE,191,1910000,,0,
1920000,IMU_SAMPLE,192,1920000,,0,
1930000,IMU_SAMPLE,193,1930000,,0,
1940000,IMU_SAMPLE,194,1940000,,0,
1950000,IMU_SAMPLE,195,1950000,,0,
1960000,IMU_SAMPLE,196,1960000,,0,
1970000,IMU_SAMPLE,197,1970000,,0,
1980000,IMU_SAMPLE,198,1980000,,0,
1990000,IMU_SAMPLE,199,1990000,,0,
2000000,PPS_EDGE,200,2000000,2000197,1,
2010000,IMU_SAMPLE,201,2010000,,0,
2020000,IMU_SAMPLE,202,2020000,,0,
2030000,IMU_SAMPLE,203,2030000,,0,
2040000,IMU_SAMPLE,204,2040000,,0,
2050000,IMU_SAMPLE,205,2050000,,0,
2060000,IMU_SAMPLE,206,2060000,,0,
2070000,IMU_SAMPLE,207,2070000,,0,
2080000,IMU_SAMPLE,208,2080000,,0,
2090000,IMU_SAMPLE,209,2090000,,0,
2100000,IMU_SAMPLE,210,2100000,,0,
2110000,IMU_SAMPLE,211,2110000,,0,
2120000,IMU_SAMPLE,212,2120000,,0,
2130000,IMU_SAMPLE,213,2130000,,0,
2140000,IMU_SAMPLE,214,2140000,,0,
2150000,IMU_SAMPLE,215,2150000,,0,
2160000,IMU_SAMPLE,216,2160000,,0,
2170000,IMU_SAMPLE,217,2170000,,0,
2180000,IMU_SAMPLE,218,2180000,,0,
2190000,IMU_SAMPLE,219,2190000,,0,
2200000,IMU_SAMPLE,220,2200000,,0,
2210000,IMU_SAMPLE,221,2210000,,0,
2220000,IMU_SAMPLE,222,2220000,,0,
2230000,IMU_SAMPLE,223,2230000,,0,
2240000,IMU_SAMPLE,224,2240000,,0,
2250000,IMU_SAMPLE,225,2250000,,0,
2260000,IMU_SAMPLE,226,2260000,,0,
2270000,IMU_SAMPLE,227,2270000,,0,
2280000,IMU_SAMPLE,228,2280000,,0,
2290000,IMU_SAMPLE,229,2290000,,0,
2300000,IMU_SAMPLE,230,2300000,,0,
2310000,IMU_SAMPLE,231,2310000,,0,
2320000,IMU_SAMPLE,232,2320000,,0,
2330000,IMU_SAMPLE,233,2330000,,0,
2340000,IMU_SAMPLE,234,2340000,,0,
2350000,IMU_SAMPLE,235,2350000,,0,
2360000,IMU_SAMPLE,236,2360000,,0,
2370000,IMU_SAMPLE,237,2370000,,0,
2380000,IMU_SAMPLE,238,2380000,,0,
2390000,IMU_SAMPLE,239,2390000,,0,
2400000,IMU_SAMPLE,240,2400000,,0,
2410000,IMU_SAMPLE,241,2410000,,0,
2420000,IMU_SAMPLE,242,2420000,,0,
2430000,IMU_SAMPLE,243,2430000,,0,
2440000,IMU_SAMPLE,244,2440000,,0,
2450000,IMU_SAMPLE,245,2450000,,0,
2460000,IMU_SAMPLE,246,2460000,,0,
2470000,IMU_SAMPLE,247,2470000,,0,
2480000,IMU_SAMPLE,248,2480000,,0,
2490000,IMU_SAMPLE,249,2490000,,0,
2500000,IMU_SAMPLE,250,2500000,,0,
2510000,IMU_SAMPLE,251,2510000,,0,
2520000,IMU_SAMPLE,252,2520000,,0,
2530000,IMU_SAMPLE,253,2530000,,0,
2540000,IMU_SAMPLE,254,2540000,,0,
2550000,IMU_SAMPLE,255,2550000,,0,
2560000,IMU_SAMPLE,256,2560000,,0,
2570000,IMU_SAMPLE,257,2570000,,0,
2580000,IMU_SAMPLE,258,2580000,,0,
2590000,IMU_SAMPLE,259,2590000,,0,
2600000,IMU_SAMPLE,260,2600000,,0,
2610000,IMU_SAMPLE,261,2610000,,0,
2620000,IMU_SAMPLE,262,2620000,,0,
2630000,IMU_SAMPLE,263,2630000,,0,
2640000,IMU_SAMPLE,264,2640000,,0,
2650000,IMU_SAMPLE,265,2650000,,0,
2660000,IMU_SAMPLE,266,2660000,,0,
2670000,IMU_SAMPLE,267,2670000,,0,
2680000,IMU_SAMPLE,268,2680000,,0,
2690000,IMU_SAMPLE,269,2690000,,0,
2700000,IMU_SAMPLE,270,2700000,,0,
2710000,IMU_SAMPLE,271,2710000,,0,
2720000,IMU_SAMPLE,272,2720000,,0,
2730000,IMU_SAMPLE,273,2730000,,0,
2740000,IMU_SAMPLE,274,2740000,,0,
2750000,IMU_SAMPLE,275,2750000,,0,
2760000,IMU_SAMPLE,276,2760000,,0,
2770000,IMU_SAMPLE,277,2770000,,0,
2780000,IMU_SAMPLE,278,2780000,,0,
2790000,IMU_SAMPLE,279,2790000,,0,
2800000,IMU_SAMPLE,280,2800000,,0,
2810000,IMU_SAMPLE,281,2810000,,0,
2820000,IMU_SAMPLE,282,2820000,,0,
2830000,IMU_SAMPLE,283,2830000,,0,
2840000,IMU_SAMPLE,284,2840000,,0,
2850000,IMU_SAMPLE,285,2850000,,0,
2860000,IMU_SAMPLE,286,2860000,,0,
2870000,IMU_SAMPLE,287,2870000,,0,
2880000,IMU_SAMPLE,288,2880000,,0,
2890000,IMU_SAMPLE,289,2890000,,0,
2900000,IMU_SAMPLE,290,2900000,,0,
2910000,IMU_SAMPLE,291,2910000,,0,
2920000,IMU_SAMPLE,292,2920000,,0,
2930000,IMU_SAMPLE,293,2930000,,0,
2940000,IMU_SAMPLE,294,2940000,,0,
2950000,IMU_SAMPLE,295,2950000,,0,
2960000,IMU_SAMPLE,296,2960000,,0,
2970000,IMU_SAMPLE,297,2970000,,0,
2980000,IMU_SAMPLE,298,2980000,,0,
2990000,IMU_SAMPLE,299,2990000,,0,
3000000,PPS_EDGE,300,3000000,3000214,1,
3010000,IMU_SAMPLE,301,3010000,,0,
3020000,IMU_SAMPLE,302,3020000,,0,
3030000,IMU_SAMPLE,303,3030000,,0,
3040000,IMU_SAMPLE,304,3040000,,0,
3050000,IMU_SAMPLE,305,3050000,,0,
3060000,IMU_SAMPLE,306,3060000,,0,
3070000,IMU_SAMPLE,307,3070000,,0,
3080000,IMU_SAMPLE,308,3080000,,0,
3090000,IMU_SAMPLE,309,3090000,,0,
3100000,IMU_SAMPLE,310,3100000,,0,
3110000,IMU_SAMPLE,311,3110000,,0,
3120000,IMU_SAMPLE,312,3120000,,0,
3130000,IMU_SAMPLE,313,3130000,,0,
3140000,IMU_SAMPLE,314,3140000,,0,
3150000,IMU_SAMPLE,315,3150000,,0,
3160000,IMU_SAMPLE,316,3160000,,0,
3170000,IMU_SAMPLE,317,3170000,,0,
3180000,IMU_SAMPLE,318,3180000,,0,
3190000,IMU_SAMPLE,319,3190000,,0,
3200000,IMU_SAMPLE,320,3200000,,0,
3210000,IMU_SAMPLE,321,3210000,,0,
3220000,IMU_SAMPLE,322,3220000,,0,
3230000,IMU_SAMPLE,323,3230000,,0,
3240000,IMU_SAMPLE,324,3240000,,0,
3250000,IMU_SAMPLE,325,3250000,,0,
3260000,IMU_SAMPLE,326,3260000,,0,
3270000,IMU_SAMPLE,327,3270000,,0,
3280000,IMU_SAMPLE,328,3280000,,0,
3290000,IMU_SAMPLE,329,3290000,,0,
3300000,IMU_SAMPLE,330,3300000,,0,
3310000,IMU_SAMPLE,331,3310000,,0,
3320000,IMU_SAMPLE,332,3320000,,0,
3330000,IMU_SAMPLE,333,3330000,,0,
3340000,IMU_SAMPLE,334,3340000,,0,
3350000,IMU_SAMPLE,335,3350000,,0,
3360000,IMU_SAMPLE,336,3360000,,0,
3370000,IMU_SAMPLE,337,3370000,,0,
3380000,IMU_SAMPLE,338,3380000,,0,
3390000,IMU_SAMPLE,339,3390000,,0,
3400000,IMU_SAMPLE,340,3400000,,0,
3410000,IMU_SAMPLE,341,3410000,,0,
3420000,IMU_SAMPLE,342,3420000,,0,
3430000,IMU_SAMPLE,343,3430000,,0,
3440000,IMU_SAMPLE,344,3440000,,0,
3450000,IMU_SAMPLE,345,3450000,,0,
3460000,IMU_SAMPLE,346,3460000,,0,
3470000,IMU_SAMPLE,347,3470000,,0,
3480000,IMU_SAMPLE,348,3480000,,0,
3490000,IMU_SAMPLE,349,3490000,,0,
3500000,IMU_SAMPLE,350,3500000,,0,
3510000,IMU_SAMPLE,351,3510000,,0,
3520000,IMU_SAMPLE,352,3520000,,0,
3530000,IMU_SAMPLE,353,3530000,,0,
3540000,IMU_SAMPLE,354,3540000,,0,
3550000,IMU_SAMPLE,355,3550000,,0,
3560000,IMU_SAMPLE,356,3560000,,0,
3570000,IMU_SAMPLE,357,3570000,,0,
3580000,IMU_SAMPLE,358,3580000,,0,
3590000,IMU_SAMPLE,359,3590000,,0,
3600000,IMU_SAMPLE,360,3600000,,0,
3610000,IMU_SAMPLE,361,3610000,,0,
3620000,IMU_SAMPLE,362,3620000,,0,
3630000,IMU_SAMPLE,363,3630000,,0,
3640000,IMU_SAMPLE,364,3640000,,0,
3650000,IMU_SAMPLE,365,3650000,,0,
3660000,IMU_SAMPLE,366,3660000,,0,
3670000,IMU_SAMPLE,367,3670000,,0,
3680000,IMU_SAMPLE,368,3680000,,0,
3690000,IMU_SAMPLE,369,3690000,,0,
3700000,IMU_SAMPLE,370,3700000,,0,
3710000,IMU_SAMPLE,371,3710000,,0,
3720000,IMU_SAMPLE,372,3720000,,0,
3730000,IMU_SAMPLE,373,3730000,,0,
3740000,IMU_SAMPLE,374,3740000,,0,
3750000,IMU_SAMPLE,375,3750000,,0,
3760000,IMU_SAMPLE,376,3760000,,0,
3770000,IMU_SAMPLE,377,3770000,,0,
3780000,IMU_SAMPLE,378,3780000,,0,
3790000,IMU_SAMPLE,379,3790000,,0,
3800000,IMU_SAMPLE,380,3800000,,0,
3810000,IMU_SAMPLE,381,3810000,,0,
3820000,IMU_SAMPLE,382,3820000,,0,
3830000,IMU_SAMPLE,383,3830000,,0,
3840000,IMU_SAMPLE,384,3840000,,0,
3850000,IMU_SAMPLE,385,3850000,,0,
3860000,IMU_SAMPLE,386,3860000,,0,
3870000,IMU_SAMPLE,387,3870000,,0,
3880000,IMU_SAMPLE,388,3880000,,0,
3890000,IMU_SAMPLE,389,3890000,,0,
3900000,IMU_SAMPLE,390,3900000,,0,
3910000,IMU_SAMPLE,391,3910000,,0,
3920000,IMU_SAMPLE,392,3920000,,0,
3930000,IMU_SAMPLE,393,3930000,,0,
3940000,IMU_SAMPLE,394,3940000,,0,
3950000,IMU_SAMPLE,395,3950000,,0,
3960000,IMU_SAMPLE,396,3960000,,0,
3970000,IMU_SAMPLE,397,3970000,,0,
3980000,IMU_SAMPLE,398,3980000,,0,
3990000,IMU_SAMPLE,399,3990000,,0,
4000000,PPS_EDGE,400,4000000,4000197,1,
4010000,IMU_SAMPLE,401,4010000,,0,
4020000,IMU_SAMPLE,402,4020000,,0,
4030000,IMU_SAMPLE,403,4030000,,0,
4040000,IMU_SAMPLE,404,4040000,,0,
4050000,IMU_SAMPLE,405,4050000,,0,
4060000,IMU_SAMPLE,406,4060000,,0,
4070000,IMU_SAMPLE,407,4070000,,0,
4080000,IMU_SAMPLE,408,4080000,,0,
4090000,IMU_SAMPLE,409,4090000,,0,
4100000,IMU_SAMPLE,410,4100000,,0,
4110000,IMU_SAMPLE,411,4110000,,0,
4120000,IMU_SAMPLE,412,4120000,,0,
4130000,IMU_SAMPLE,413,4130000,,0,
4140000,IMU_SAMPLE,414,4140000,,0,
4150000,IMU_SAMPLE,415,4150000,,0,
4160000,IMU_SAMPLE,416,4160000,,0,
4170000,IMU_SAMPLE,417,4170000,,0,
4180000,IMU_SAMPLE,418,4180000,,0,
4190000,IMU_SAMPLE,419,4190000,,0,
4200000,IMU_SAMPLE,420,4200000,,0,
4210000,IMU_SAMPLE,421,4210000,,0,
4220000,IMU_SAMPLE,422,4220000,,0,
4230000,IMU_SAMPLE,423,4230000,,0,
4240000,IMU_SAMPLE,424,4240000,,0,
4250000,IMU_SAMPLE,425,4250000,,0,
4260000,IMU_SAMPLE,426,4260000,,0,
4270000,IMU_SAMPLE,427,4270000,,0,
4280000,IMU_SAMPLE,428,4280000,,0,
4290000,IMU_SAMPLE,429,4290000,,0,
4300000,IMU_SAMPLE,430,4300000,,0,
4310000,IMU_SAMPLE,431,4310000,,0,
4320000,IMU_SAMPLE,432,4320000,,0,
4330000,IMU_SAMPLE,433,4330000,,0,
4340000,IMU_SAMPLE,434,4340000,,0,
4350000,IMU_SAMPLE,435,4350000,,0,
4360000,IMU_SAMPLE,436,4360000,,0,
4370000,IMU_SAMPLE,437,4370000,,0,
4380000,IMU_SAMPLE,438,4380000,,0,
4390000,IMU_SAMPLE,439,4390000,,0,
4400000,IMU_SAMPLE,440,4400000,,0,
4410000,IMU_SAMPLE,441,4410000,,0,
4420000,IMU_SAMPLE,442,4420000,,0,
4430000,IMU_SAMPLE,443,4430000,,0,
4440000,IMU_SAMPLE,444,4440000,,0,
4450000,IMU_SAMPLE,445,4450000,,0,
4460000,IMU_SAMPLE,446,4460000,,0,
4470000,IMU_SAMPLE,447,4470000,,0,
4480000,IMU_SAMPLE,448,4480000,,0,
4490000,IMU_SAMPLE,449,4490000,,0,
4500000,IMU_SAMPLE,450,4500000,,0,
4510000,IMU_SAMPLE,451,4510000,,0,
4520000,IMU_SAMPLE,452,4520000,,0,
4530000,IMU_SAMPLE,453,4530000,,0,
4540000,IMU_SAMPLE,454,4540000,,0,
4550000,IMU_SAMPLE,455,4550000,,0,
4560000,IMU_SAMPLE,456,4560000,,0,
4570000,IMU_SAMPLE,457,4570000,,0,
4580000,IMU_SAMPLE,458,4580000,,0,
4590000,IMU_SAMPLE,459,4590000,,0,
4600000,IMU_SAMPLE,460,4600000,,0,
4610000,IMU_SAMPLE,461,4610000,,0,
4620000,IMU_SAMPLE,462,4620000,,0,
4630000,IMU_SAMPLE,463,4630000,,0,
4640000,IMU_SAMPLE,464,4640000,,0,
4650000,IMU_SAMPLE,465,4650000,,0,
4660000,IMU_SAMPLE,466,4660000,,0,
4670000,IMU_SAMPLE,467,4670000,,0,
4680000,IMU_SAMPLE,468,4680000,,0,
4690000,IMU_SAMPLE,469,4690000,,0,
4700000,IMU_SAMPLE,470,4700000,,0,
4710000,IMU_SAMPLE,471,4710000,,0,
4720000,IMU_SAMPLE,472,4720000,,0,
4730000,IMU_SAMPLE,473,4730000,,0,
4740000,IMU_SAMPLE,474,4740000,,0,
4750000,IMU_SAMPLE,475,4750000,,0,
4760000,IMU_SAMPLE,476,4760000,,0,
4770000,IMU_SAMPLE,477,4770000,,0,
4780000,IMU_SAMPLE,478,4780000,,0,
4790000,IMU_SAMPLE,479,4790000,,0,
4800000,IMU_SAMPLE,480,4800000,,0,
4810000,IMU_SAMPLE,481,4810000,,0,
4820000,IMU_SAMPLE,482,4820000,,0,
4830000,IMU_SAMPLE,483,4830000,,0,
4840000,IMU_SAMPLE,484,4840000,,0,
4850000,IMU_SAMPLE,485,4850000,,0,
4860000,IMU_SAMPLE,486,4860000,,0,
4870000,IMU_SAMPLE,487,4870000,,0,
4880000,IMU_SAMPLE,488,4880000,,0,
4890000,IMU_SAMPLE,489,4890000,,0,
4900000,IMU_SAMPLE,490,4900000,,0,
4910000,IMU_SAMPLE,491,4910000,,0,
4920000,IMU_SAMPLE,492,4920000,,0,
4930000,IMU_SAMPLE,493,4930000,,0,
4940000,IMU_SAMPLE,494,4940000,,0,
4950000,IMU_SAMPLE,495,4950000,,0,
4960000,IMU_SAMPLE,496,4960000,,0,
4970000,IMU_SAMPLE,497,4970000,,0,
4980000,IMU_SAMPLE,498,4980000,,0,
4990000,IMU_SAMPLE,499,4990000,,0,
5000000,PPS_EDGE,500,5000000,5000170,1,
5010000,IMU_SAMPLE,501,5010000,,0,
5020000,IMU_SAMPLE,502,5020000,,0,
5030000,IMU_SAMPLE,503,5030000,,0,
5040000,IMU_SAMPLE,504,5040000,,0,
5050000,IMU_SAMPLE,505,5050000,,0,
5060000,IMU_SAMPLE,506,5060000,,0,
5070000,IMU_SAMPLE,507,5070000,,0,
5080000,IMU_SAMPLE,508,5080000,,0,
5090000,IMU_SAMPLE,509,5090000,,0,
5100000,IMU_SAMPLE,510,5100000,,0,
5110000,IMU_SAMPLE,511,5110000,,0,
5120000,IMU_SAMPLE,512,5120000,,0,
5130000,IMU_SAMPLE,513,5130000,,0,
5140000,IMU_SAMPLE,514,5140000,,0,
5150000,IMU_SAMPLE,515,5150000,,0,
5160000,IMU_SAMPLE,516,5160000,,0,
5170000,IMU_SAMPLE,517,5170000,,0,
5180000,IMU_SAMPLE,518,5180000,,0,
5190000,IMU_SAMPLE,519,5190000,,0,
5200000,IMU_SAMPLE,520,5200000,,0,
5210000,IMU_SAMPLE,521,5210000,,0,
5220000,IMU_SAMPLE,522,5220000,,0,
5230000,IMU_SAMPLE,523,5230000,,0,
5240000,IMU_SAMPLE,524,5240000,,0,
5250000,IMU_SAMPLE,525,5250000,,0,
